Year,Month,Inflation
1989,April,10.40%
1989,May,10.20%
1989,June,11.10%
1989,July,10.60%
1989,August,12.60%
1989,September,12.60%
1989,October,13.30%
1989,November,13.10%
1989,December,15.10%
1990,January,19.20%
1990,February,22.00%
1990,March,22.30%
1990,April,22.60%
1990,May,23.30%
1990,June,22.40%
1990,July,24.00%
1990,August,20.90%
1990,September,20.60%
1990,October,19.50%
1990,November,21.90%
1990,December,19.60%
1991,January,15.40%
1991,February,13.70%
1991,March,14.30%
1991,April,14.00%
1991,May,13.60%
1991,June,13.70%
1991,July,11.70%
1991,August,12.00%
1991,September,10.10%
1991,October,10.60%
1991,November,9.10%
1991,December,9.00%
1992,January,12.10%
1992,February,10.70%
1992,March,9.50%
1992,April,9.90%
1992,May,10.20%
1992,June,12.50%
1992,July,10.80%
1992,August,9.70%
1992,September,12.60%
1992,October,12.50%
1992,November,11.90%
1992,December,13.80%
1993,January,14.90%
1993,February,15.70%
1993,March,13.00%
1993,April,9.90%
1993,May,10.60%
1993,June,9.30%
1993,July,12.30%
1993,August,13.50%
1993,September,10.60%
1993,October,10.10%
1993,November,11.40%
1993,December,10.30%
1994,January,10.20%
1994,February,12.10%
1994,March,14.50%
1994,April,17.00%
1994,May,12.10%
1994,June,9.80%
1994,July,5.70%
1994,August,6.80%
1994,September,4.20%
1994,October,3.30%
1994,November,2.80%
1994,December,4.20%
1995,January,2.40%
1995,February,1.00%
1995,March,-0.90%
1995,April,0.70%
1995,May,8.10%
1995,June,10.00%
1995,July,12.90%
1995,August,8.60%
1995,September,10.70%
1995,October,13.50%
1995,November,14.50%
1995,December,11.50%
1996,January,11.20%
1996,February,11.80%
1996,March,13.60%
1996,April,14.30%
1996,May,13.80%
1996,June,16.40%
1996,July,15.60%
1996,August,19.20%
1996,September,21.50%
1996,October,19.90%
1996,November,16.50%
1996,December,16.80%
1997,January,16.70%
1997,February,15.60%
1997,March,14.30%
1997,April,11.30%
1997,May,7.80%
1997,June,3.90%
1997,July,7.20%
1997,August,7.10%
1997,September,6.80%
1997,October,6.50%
1997,November,8.80%
1997,December,10.70%
1998,January,13.20%
1998,February,12.10%
1998,March,11.40%
1998,April,10.30%
1998,May,12.10%
1998,June,14.10%
1998,July,10.50%
1998,August,6.80%
1998,September,5.80%
1998,October,7.50%
1998,November,5.80%
1998,December,3.70%
1999,January,3.80%
1999,February,5.00%
1999,March,5.00%
1999,April,7.70%
1999,May,6.60%
1999,June,3.40%
1999,July,1.60%
1999,August,4.70%
1999,September,5.40%
1999,October,5.00%
1999,November,4.20%
1999,December,4.00%
2000,January,0.30%
2000,February,1.90%
2000,March,4.50%
2000,April,3.70%
2000,May,2.40%
2000,June,6.80%
2000,July,10.10%
2000,August,9.90%
2000,September,8.50%
2000,October,7.80%
2000,November,7.60%
2000,December,10.80%
2001,January,16.20%
2001,February,16.60%
2001,March,13.20%
2001,April,13.90%
2001,May,16.30%
2001,June,14.70%
2001,July,13.40%
2001,August,11.40%
2001,September,14.90%
2001,October,14.10%
2001,November,14.90%
2001,December,10.80%
2002,January,8.90%
2002,February,8.50%
2002,March,11.40%
2002,April,8.30%
2002,May,10.00%
2002,June,10.70%
2002,July,10.80%
2002,August,10.10%
2002,September,7.40%
2002,October,8.20%
2002,November,9.10%
2002,December,11.30%
2003,January,13.60%
2003,February,11.00%
2003,March,7.90%
2003,April,8.30%
2003,May,6.00%
2003,June,4.50%
2003,July,3.40%
2003,August,3.70%
2003,September,4.80%
2003,October,3.90%
2003,November,4.50%
2003,December,5.00%
2004,January,0.50%
2004,February,0.90%
2004,March,2.50%
2004,April,4.60%
2004,May,5.90%
2004,June,6.80%
2004,July,8.90%
2004,August,10.50%
2004,September,11.60%
2004,October,12.10%
2004,November,13.10%
2004,December,13.80%
2005,January,14.60%
2005,February,15.90%
2005,March,15.50%
2005,April,14.00%
2005,May,11.80%
2005,June,9.40%
2005,July,10.80%
2005,August,10.90%
2005,September,10.50%
2005,October,10.40%
2005,November,9.10%
2005,December,8.00%
2006,January,8.00%
2006,February,7.10%
2006,March,6.40%
2006,April,9.20%
2006,May,13.20%
2006,June,17.70%
2006,July,14.70%
2006,August,15.30%
2006,September,15.40%
2006,October,17.20%
2006,November,19.80%
2006,December,19.30%
2007,January,20.50%
2007,February,19.20%
2007,March,19.50%
2007,April,16.30%
2007,May,13.70%
2007,June,13.00%
2007,July,17.60%
2007,August,17.30%
2007,September,17.30%
2007,October,19.60%
2007,November,19.60%
2007,December,16.40%
2008,January,21.60%
2008,February,24.00%
2008,March,28.10%
2008,April,29.90%
2008,May,26.20%
2008,June,28.20%
2008,July,26.60%
2008,August,24.90%
2008,September,24.30%
2008,October,20.20%
2008,November,16.30%
2008,December,14.40%
2009,January,10.70%
2009,February,7.60%
2009,March,5.30%
2009,April,2.90%
2009,May,3.30%
2009,June,0.90%
2009,July,1.10%
2009,August,0.90%
2009,September,0.70%
2009,October,1.40%
2009,November,2.80%
2009,December,4.80%
2010,January,6.50%
2010,February,6.90%
2010,March,6.30%
2010,April,5.80%
2010,May,5.30%
2010,June,4.80%
2010,July,4.30%
2010,August,5.00%
2010,September,5.80%
2010,October,6.60%
2010,November,7.00%
2010,December,6.90%
2011,January,6.80%
2011,February,7.80%
2011,March,8.60%
2011,April,9.80%
2011,May,8.80%
2011,June,7.10%
2011,July,7.50%
2011,August,7.00%
2011,September,6.40%
2011,October,5.10%
2011,November,4.70%
2011,December,4.90%
2012,January,3.80%
2012,February,2.70%
2012,March,5.50%
2012,April,6.10%
2012,May,7.00%
2012,June,9.30%
2012,July,9.80%
2012,August,9.50%
2012,September,9.10%
2012,October,8.90%
2012,November,9.50%
2012,December,9.20%
2013,January,9.80%
2013,February,9.80%
2013,March,7.50%
2013,April,6.40%
2013,May,7.30%
2013,June,6.80%
2013,July,6.10%
2013,August,6.30%
2013,September,6.20%
2013,October,6.70%
2013,November,5.60%
2013,December,4.70%
2014,January,4.40%
2014,February,4.20%
2014,March,4.20%
2014,April,4.90%
2014,May,3.20%
2014,June,2.80%
2014,July,3.60%
2014,August,3.50%
2014,September,3.50%
2014,October,1.60%
2014,November,1.50%
2014,December,2.10%
2015,January,3.20%
2015,February,0.60%
2015,March,0.10%
2015,April,0.10%
2015,May,0.20%
2015,June,0.10%
2015,July,-0.20%
2015,August,-0.20%
2015,September,-0.30%
2015,October,1.70%
2015,November,3.10%
2015,December,2.80%
2016,January,0.90%
2016,February,2.70%
2016,March,2.00%
2016,April,3.10%
2016,May,4.80%
2016,June,6.00%
2016,July,5.50%
2016,August,4.00%
2016,September,3.90%
2016,October,4.20%
2016,November,3.40%
2016,December,4.10%
2017,January ,5.5
2017,February ,6.8
2017,March ,7.3
2017,April ,6.9
2017,May ,6.0
2017,June ,6.1
2017,July ,4.8
2017,August ,6.0
2017,September ,7.1
2017,October ,7.8
2017,November ,7.6
2017,December ,7.1
2018,January ,5.8
2018,February ,4.5
2018,March ,4.2
2018,April ,3.8
2018,May ,4.0
2018,June ,4.4
2018,July ,5.4
2018,August ,5.9
2018,September ,4.3
2018,October ,3.1
2018,November ,3.3
2018,December ,2.8
2019,January ,3.7
2019,February ,4.0
2019,March ,4.3
2019,April ,4.5
2019,May ,5.0
2019,June ,3.8
2019,July ,3.3
2019,August ,3.4
2019,September ,5.0
2019,October ,5.4
2019,November ,4.4
2019,December ,4.8
2020,January ,5.7
2020,February ,6.2
2020,March ,5.4
2020,April ,5.2
2020,May ,4.0
2020,June ,3.9
2020,July ,4.2
2020,August ,4.1
2020,September ,4.0
2020,October ,4.0
2020,November ,4.1
2020,December ,4.2
2021,January ,3.0
2021,February ,3.3
2021,March ,4.1
2021,April ,3.9
2021,May ,4.5
2021,June ,5.2
2021,July ,5.7
2021,August ,6.0
2021,September ,5.7
2021,October ,7.6
2021,November ,9.9
2021,December ,12.1
2022,January ,14.2
2022,February ,15.1
2022,March ,18.7
2022,April ,29.8
2022,May ,39.1
2022,June ,54.6
2022,July ,60.8
2022,August ,64.3
2022,September ,69.8
2022,October ,66.0
2022,November ,61.0
2022,December ,57.2
2023,January ,54.2
2023,February ,50.6
2023,March ,50.3
2023,April ,35.3
2023,May ,25.2
2023,June ,12
2023,July ,6.3
2023,August ,4
2023,September ,1.3
